Name                                                        Type                                     Description
Stream Analytics Query Tester                               Microsoft.Authorization/roleDefinitions  Lets you perform query testing without creating a stream analytics job first
AnyBuild Builder                                            Microsoft.Authorization/roleDefinitions  Basic user role for AnyBuild. This role allows listing of agent information and execution of remote build capabilities.
IoT Hub Data Reader                                         Microsoft.Authorization/roleDefinitions  Allows for full read access to IoT Hub data-plane properties
IoT Hub Twin Contributor                                    Microsoft.Authorization/roleDefinitions  Allows for read and write access to all IoT Hub device and module twins.
IoT Hub Registry Contributor                                Microsoft.Authorization/roleDefinitions  Allows for full access to IoT Hub device registry.
IoT Hub Data Contributor                                    Microsoft.Authorization/roleDefinitions  Allows for full access to IoT Hub data plane operations.
Test Base Reader                                            Microsoft.Authorization/roleDefinitions  Let you view and download packages and test results.
Search Index Data Reader                                    Microsoft.Authorization/roleDefinitions  Grants read access to Azure Cognitive Search index data.
Search Index Data Contributor                               Microsoft.Authorization/roleDefinitions  Grants full access to Azure Cognitive Search index data.
Storage Table Data Reader                                   Microsoft.Authorization/roleDefinitions  Allows for read access to Azure Storage tables and entities
Storage Table Data Contributor                              Microsoft.Authorization/roleDefinitions  Allows for read, write and delete access to Azure Storage tables and entities
DICOM Data Reader                                           Microsoft.Authorization/roleDefinitions  Read and search DICOM data.
DICOM Data Owner                                            Microsoft.Authorization/roleDefinitions  Full access to DICOM data.
EventGrid Data Sender                                       Microsoft.Authorization/roleDefinitions  Allows send access to event grid events.
Disk Pool Operator                                          Microsoft.Authorization/roleDefinitions  Used by the StoragePool Resource Provider to manage Disks added to a Disk Pool.
AzureML Data Scientist                                      Microsoft.Authorization/roleDefinitions  Can perform all actions within an Azure Machine Learning workspace, except for creating or deleting compute resources and modifying the workspace itself.
Grafana Admin                                               Microsoft.Authorization/roleDefinitions  Built-in Grafana admin role
Azure Connected SQL Server Onboarding                       Microsoft.Authorization/roleDefinitions  Microsoft.AzureArcDataserviceroletoaccesstheresourcesofMicrosoft.AzureArcDatastoredwithRPSAAS.
Azure Relay Sender                                          Microsoft.Authorization/roleDefinitions  Allows for send access to Azure Relay resources.
Azure Relay Owner                                           Microsoft.Authorization/roleDefinitions  Allows for full access to Azure Relay resources.
Azure Relay Listener                                        Microsoft.Authorization/roleDefinitions  Allows for listen access to Azure Relay resources.
Grafana Viewer                                              Microsoft.Authorization/roleDefinitions  Built-in Grafana Viewer role
Grafana Editor                                              Microsoft.Authorization/roleDefinitions  Built-in Grafana Editor role
Automation Contributor                                      Microsoft.Authorization/roleDefinitions  Manage azure automation resources and other resources using azure automation.
Kubernetes Extension Contributor                            Microsoft.Authorization/roleDefinitions  Can create, update, get, list and delete Kubernetes Extensions, and get extension async operations
Device Provisioning Service Data Reader                     Microsoft.Authorization/roleDefinitions  Allows for full read access to Device Provisioning Service data-plane properties.
Device Provisioning Service Data Contributor                Microsoft.Authorization/roleDefinitions  Allows for full access to Device Provisioning Service data-plane operations.
CodeSigning Certificate Profile Signer                      Microsoft.Authorization/roleDefinitions  Sign files with a certificate profile. This role is in preview and subject to change.
Azure Spring Cloud Service Registry Reader                  Microsoft.Authorization/roleDefinitions  Allow read access to Azure Spring Cloud Service Registry
Azure Spring Cloud Service Registry Contributor             Microsoft.Authorization/roleDefinitions  Allow read, write and delete access to Azure Spring Cloud Service Registry
Azure Spring Cloud Config Server Reader                     Microsoft.Authorization/roleDefinitions  Allow read access to Azure Spring Cloud Config Server
Azure Spring Cloud Config Server Contributor                Microsoft.Authorization/roleDefinitions  Allow read, write and delete access to Azure Spring Cloud Config Server
Azure VM Managed identities restore Contributor             Microsoft.Authorization/roleDefinitions  Azure VM Managed identities restore Contributors are allowed to perform Azure VM Restores with managed identities both user and system
Azure Maps Search and Render Data Reader                    Microsoft.Authorization/roleDefinitions  Grants access to very limited set of data APIs for common visual web SDK scenarios. Specifically, render and search data APIs.
Azure Maps Contributor                                      Microsoft.Authorization/roleDefinitions  Grants access all Azure Maps resource management.
Azure Arc VMware VM Contributor                             Microsoft.Authorization/roleDefinitions  Arc VMware VM Contributor has permissions to perform all VM actions.
Azure Arc VMware Private Cloud User                         Microsoft.Authorization/roleDefinitions  Azure Arc VMware Private Cloud User has permissions to use the VMware cloud resources to deploy VMs.
Azure Arc VMware Administrator role                         Microsoft.Authorization/roleDefinitions  Arc VMware VM Contributor has permissions to perform all connected VMwarevSphere actions.
Cognitive Services LUIS Owner                               Microsoft.Authorization/roleDefinitions  Has access to all Read, Test, Write, Deploy and Delete functions under LUIS
Cognitive Services Language Reader                          Microsoft.Authorization/roleDefinitions  Has access to Read and Test functions under Language portal
Cognitive Services Language Writer                          Microsoft.Authorization/roleDefinitions  Has access to all Read, Test, and Write functions under Language Portal
Cognitive Services Language Owner                           Microsoft.Authorization/roleDefinitions  Has access to all Read, Test, Write, Deploy and Delete functions under Language portal
Cognitive Services LUIS Reader                              Microsoft.Authorization/roleDefinitions  Has access to Read and Test functions under LUIS.
Cognitive Services LUIS Writer                              Microsoft.Authorization/roleDefinitions  Has access to all Read, Test, and Write functions under LUIS
PlayFab Reader                                              Microsoft.Authorization/roleDefinitions  Provides read access to PlayFab resources
Load Test Contributor                                       Microsoft.Authorization/roleDefinitions  View, create, update, delete and execute load tests. View and list load test resources but can not make any changes.
Load Test Owner                                             Microsoft.Authorization/roleDefinitions  Execute all operations on load test resources and load tests
PlayFab Contributor                                         Microsoft.Authorization/roleDefinitions  Provides contributor access to PlayFab resources
Load Test Reader                                            Microsoft.Authorization/roleDefinitions  View and list all load tests and load test resources but can not make any changes
Cognitive Services Immersive Reader User                    Microsoft.Authorization/roleDefinitions  Provides access to create Immersive Reader sessions and call APIs
Lab Services Contributor                                    Microsoft.Authorization/roleDefinitions  The lab services contributor role
Lab Services Reader                                         Microsoft.Authorization/roleDefinitions  The lab services reader role
Lab Assistant                                               Microsoft.Authorization/roleDefinitions  The lab assistant role
Lab Operator                                                Microsoft.Authorization/roleDefinitions  The lab operator role
Lab Contributor                                             Microsoft.Authorization/roleDefinitions  The lab contributor role
Security Admin                                              Microsoft.Authorization/roleDefinitions  Security Admin Role
Web PubSub Service Owner (Preview)                          Microsoft.Authorization/roleDefinitions  Full access to Azure Web PubSub Service REST APIs
Web PubSub Service Reader (Preview)                         Microsoft.Authorization/roleDefinitions  Read-only access to Azure Web PubSub Service REST APIs
SignalR App Server                                          Microsoft.Authorization/roleDefinitions  Lets your app server access SignalR Service with AAD auth options.
Virtual Machine User Login                                  Microsoft.Authorization/roleDefinitions  View Virtual Machines in the portal and login as a regular user.
Virtual Machine Administrator Login                         Microsoft.Authorization/roleDefinitions  View Virtual Machines in the portal and login as administrator
Azure Connected Machine Resource Administrator              Microsoft.Authorization/roleDefinitions  Can read, write, delete and re-onboard Azure Connected Machines.
Backup Operator                                             Microsoft.Authorization/roleDefinitions  Lets you manage backup services, except removal of backup, vault creation and giving access to others
Workbook Contributor                                        Microsoft.Authorization/roleDefinitions  Can save shared workbooks.
Workbook Reader                                             Microsoft.Authorization/roleDefinitions  Can read workbooks.
Monitoring Contributor                                      Microsoft.Authorization/roleDefinitions  Can read all monitoring data and update monitoring settings.
Monitoring Metrics Publisher                                Microsoft.Authorization/roleDefinitions  Enables publishing metrics against Azure resources
Purview role 1 (Deprecated)                                 Microsoft.Authorization/roleDefinitions  Deprecated role.
Purview role 2 (Deprecated)                                 Microsoft.Authorization/roleDefinitions  Deprecated role.
Purview role 3 (Deprecated)                                 Microsoft.Authorization/roleDefinitions  Deprecated role.
Autonomous Development Platform Data Contributor (Preview)  Microsoft.Authorization/roleDefinitions  Grants permissions to upload and manage new Autonomous Development Platform measurements.
Autonomous Development Platform Data Owner (Preview)        Microsoft.Authorization/roleDefinitions  Grants full access to Autonomous Development Platform data.
Autonomous Development Platform Data Reader (Preview)       Microsoft.Authorization/roleDefinitions  Grants read access to Autonomous Development Platform data.
Key Vault Crypto Officer                                    Microsoft.Authorization/roleDefinitions  Perform any action on the keys of a key vault, except manage permissions. Only works for key vaults that use the 'Azure role-based access control' permission model.
Device Update Deployments Reader                            Microsoft.Authorization/roleDefinitions  Gives you read access to management operations, but does not allow making changes
Device Update Deployments Administrator                     Microsoft.Authorization/roleDefinitions  Gives you full access to management operations
Azure Arc VMware Private Clouds Onboarding                  Microsoft.Authorization/roleDefinitions  Azure Arc VMware Private Clouds Onboarding role has permissions to provision all the required resources for onboard and deboard vCenter instances to Azure.
Chamber Admin                                               Microsoft.Authorization/roleDefinitions  Lets you manage everything under your HPC Workbench chamber.
Microsoft Sentinel Automation Contributor                   Microsoft.Authorization/roleDefinitions  Microsoft Sentinel Automation Contributor
CDN Endpoint Reader                                         Microsoft.Authorization/roleDefinitions  Can view CDN endpoints, but cant make changes.
Chamber User                                                Microsoft.Authorization/roleDefinitions  Lets you view everything under your HPC Workbench chamber, but not make any changes.
Cognitive Services Speech User                              Microsoft.Authorization/roleDefinitions  Access to the real-time speech recognition and batch transcription APIs, real-time speech synthesis and long audio APIs, as well as to read the data/test/model/endpoint for custom models, but cant create, delete or modify the data/test/model/endpoint for custom models.
Windows Admin Center Administrator Login                    Microsoft.Authorization/roleDefinitions  Let's you manage the OS of your resource via Windows Admin Center as an administrator.
Azure Kubernetes Service Policy Add-on Deployment           Microsoft.Authorization/roleDefinitions  Deploy the Azure Policy add-on on Azure Kubernetes Service clusters
Guest Configuration Resource Contributor                    Microsoft.Authorization/roleDefinitions  Lets you read, write Guest Configuration Resource.
Domain Services Reader                                      Microsoft.Authorization/roleDefinitions  Can view Azure AD Domain Services and related network configurations
Domain Services Contributor                                 Microsoft.Authorization/roleDefinitions  Can manage Azure AD Domain Services and related network configurations
DNS Resolver Contributor                                    Microsoft.Authorization/roleDefinitions  Lets you manage DNS resolver resources.
Azure Arc Enabled Kubernetes Cluster User Role              Microsoft.Authorization/roleDefinitions  List cluster user credentials action.
Data Operator for Managed Disks                             Microsoft.Authorization/roleDefinitions  Provides permissions to upload data to empty managed disks, read, or export data of managed disks (not attached to running VMs) and snapshots using SAS URIs and Azure AD authentication.
AgFood Platform Sensor Partner Contributor                  Microsoft.Authorization/roleDefinitions  Provides contribute access to manage sensor related entities in AgFood Platform Service
Compute Gallery Sharing Admin                               Microsoft.Authorization/roleDefinitions  This role allows user to share gallery to another subscription/tenant or share it to the public.
Scheduled Patching Contributor                              Microsoft.Authorization/roleDefinitions  Provides access to manage maintenance configurations with maintenance scope InGuestPatch and corresponding configuration assignments
DevCenter Dev Box User                                      Microsoft.Authorization/roleDefinitions  Provides access to create and manage dev boxes.
DevCenter Project Admin                                     Microsoft.Authorization/roleDefinitions  Provides access to manage project resources.
Virtual Machine Local User Login                            Microsoft.Authorization/roleDefinitions  View Virtual Machines in the portal and login as a local user configured on the arc server
Azure Arc ScVmm Private Clouds Onboarding                   Microsoft.Authorization/roleDefinitions  Azure Arc ScVmm Private Clouds Onboarding role has permissions to provision all the required resources for onboard and deboard vmm server instances to Azure.
Azure Arc ScVmm VM Contributor                              Microsoft.Authorization/roleDefinitions  Arc ScVmm VM Contributor has permissions to perform all VM actions.
Azure Arc ScVmm Private Cloud User                          Microsoft.Authorization/roleDefinitions  Azure Arc ScVmm Private Cloud User has permissions to use the ScVmm resources to deploy VMs.
Azure Arc ScVmm Administrator role                          Microsoft.Authorization/roleDefinitions  Arc ScVmm VM Administrator has permissions to perform all ScVmm actions.
FHIR Data Importer                                          Microsoft.Authorization/roleDefinitions  Role allows user or principal to read and import FHIR Data
API Management Developer Portal Content Editor              Microsoft.Authorization/roleDefinitions  Can customize the developer portal, edit its content, and publish it.
VM Scanner Operator                                         Microsoft.Authorization/roleDefinitions  Role that provides access to disk snapshot for security analysis.
Elastic SAN Owner                                           Microsoft.Authorization/roleDefinitions  Allows for full access to all resources under Azure Elastic SAN including changing network security policies to unblock data path access
Elastic SAN Reader                                          Microsoft.Authorization/roleDefinitions  Allows for control path read access to Azure Elastic SAN
Desktop Virtualization Virtual Machine Contributor          Microsoft.Authorization/roleDefinitions  This role is in preview and subject to change. Provide permission to the Azure Virtual Desktop Resource Provider to create, delete, update, start, and stop virtual machines.
Desktop Virtualization Power On Off Contributor             Microsoft.Authorization/roleDefinitions  This role is in preview and subject to change. Provide permission to the Azure Virtual Desktop Resource Provider to start and stop virtual machines.
Desktop Virtualization Power On Contributor                 Microsoft.Authorization/roleDefinitions  This role is in preview and subject to change. Provide permission to the Azure Virtual Desktop Resource Provider to start virtual machines.
Elastic SAN Volume Group Owner                              Microsoft.Authorization/roleDefinitions  Allows for full access to a volume group in Azure Elastic SAN including changing network security policies to unblock data path access
Access Review Operator Service Role                         Microsoft.Authorization/roleDefinitions  Lets you grant Access Review System app permissions to discover and revoke access as needed by the access review process.
Code Signing Identity Verifier                              Microsoft.Authorization/roleDefinitions  Manage identity or business verification requests. This role is in preview and subject to change.
Video Indexer Restricted Viewer                             Microsoft.Authorization/roleDefinitions  Has access to view and search through all video's insights and transcription in the Video Indexer portal. No access to model customization, embedding of widget, downloading videos, or sharing the account.
Monitoring Data Reader                                      Microsoft.Authorization/roleDefinitions  Can access the data in an Azure Monitor Workspace.
Azure Kubernetes Fleet Manager RBAC Cluster Admin           Microsoft.Authorization/roleDefinitions  Lets you manage all resources in the fleet manager cluster.
Azure Kubernetes Fleet Manager RBAC Reader                  Microsoft.Authorization/roleDefinitions  Allows read-only access to see most objects in a namespace. It does not allow viewing roles or role bindings. This role does not allow viewing Secrets, since reading the contents of Secrets enables access to ServiceAccount credentials in the namespace, which would allow API access as any ServiceAccount in the namespace (a form of privilege escalation).  Applying this role at cluster scope will give access across all namespaces.
Azure Kubernetes Fleet Manager RBAC Admin                   Microsoft.Authorization/roleDefinitions  This role grants admin access - provides write permissions on most objects within a a namespace, with the exception of ResourceQuota object and the namespace object itself. Applying this role at cluster scope will give access across all namespaces.
Azure Kubernetes Fleet Manager RBAC Writer                  Microsoft.Authorization/roleDefinitions  Allows read/write access to most objects in a namespace.This role does not allow viewing or modifying roles or role bindings. However, this role allows accessing Secrets as any ServiceAccount in the namespace, so it can be used to gain the API access levels of any ServiceAccount in the namespace.  Applying this role at cluster scope will give access across all namespaces.
Azure Kubernetes Fleet Manager Contributor Role             Microsoft.Authorization/roleDefinitions  Grants access to read and write Azure Kubernetes Fleet Manager clusters
Kubernetes Namespace User                                   Microsoft.Authorization/roleDefinitions  Allows a user to read namespace resources and retrieve kubeconfig for the cluster
Data Labeling - Labeler                                     Microsoft.Authorization/roleDefinitions  Can label data in Labeling.
Role Based Access Control Administrator (Preview)           Microsoft.Authorization/roleDefinitions  Manage access to Azure resources by assigning roles using Azure RBAC. This role does not allow you to manage access using other ways, such as Azure Policy.
Template Spec Contributor                                   Microsoft.Authorization/roleDefinitions  Allows full access to Template Spec operations at the assigned scope.
Template Spec Reader                                        Microsoft.Authorization/roleDefinitions  Allows read access to Template Specs at the assigned scope.
Microsoft Sentinel Playbook Operator                        Microsoft.Authorization/roleDefinitions  Microsoft Sentinel Playbook Operator
Deployment Environments User                                Microsoft.Authorization/roleDefinitions  Provides access to manage environment resources.
Azure Spring Apps Connect Role                              Microsoft.Authorization/roleDefinitions  Azure Spring Apps Connect Role
Azure Spring Apps Remote Debugging Role                     Microsoft.Authorization/roleDefinitions  Azure Spring Apps Remote Debugging Role
AzureML Compute Operator                                    Microsoft.Authorization/roleDefinitions  Can access and perform CRUD operations on Machine Learning Services managed compute resources (including Notebook VMs).
AzureML Registry User                                       Microsoft.Authorization/roleDefinitions  Can perform all actions on Machine Learning Services Registry assetsas well as get Registry resources.
Azure Traffic Controller Configuration Manager              Microsoft.Authorization/roleDefinitions  Allows access to traffic controller resource. Also allows all confiuration Updates on traffic controller
FHIR SMART User                                             Microsoft.Authorization/roleDefinitions  Role allows user to access FHIR Service according to SMART on FHIR specification
Cognitive Services OpenAI Contributor                       Microsoft.Authorization/roleDefinitions  Full access including the ability to fine-tune, deploy and generate text
Cognitive Services OpenAI User                              Microsoft.Authorization/roleDefinitions  Ability to view files, models, deployments. Readers can't make any changes They can inference
